BlockHash,TPS,GasUsed
7dcf632b589ef10b2c2bbe068ba1143ec1ac6bf39f43e7912891f7af59f5ab7c,21000,0.00
1e7fd0256485df721a80fa417352f5672544f05109aacfc1d4dd3dc90a2ad123,21000,0.00
34065262d74e4ca89afc3bdb6d7ec193ee54078259139eb806df3c84c664976d,21000,0.00
f629b35f10f77af0157d6ddbf44eaf0a94ece6cb3b2f7d40cb9d202f8101cbcb,21000,0.00
015110b939c372b147c0cb3395221faa9305bd1eccd88c3bfa9dce2e75f4f9d1,21000,0.30
34c2a7f82ffdb8a4c1af5b386bf62a7aa1c695dcdaf9b2f7a9df03f6dab0a558,21000,0.30
8f43d2cd1448a1ab49da54e75b5620f9b2ad07fbba0070838027b8408c013e27,21000,0.50
5f736daa0fa99f00f0225dfd8af58197e6f3704c8e2eddb9fb462a48508ae9ab,63000,0.50
1dd9923dbf9b30e09251672c37b3f50e4113b0a1b55df617cb99bd568a95ee46,105000,0.70
e7e357fe9af0b21f5afb630abe2df4e5b4da02d0a2eaff072e5929beebf868d1,126000,0.70
d13eb33df0777f1ff5aa9b9298460190c0df594a6a7a51d95556aa7b211d4fc0,147000,1.50
20ca2fab42a86d331348cf14798bb11ce7baa69b4f103d682897c8ac31c1ddbd,168000,1.50
e533ed9bc3e63889a2ad5909ccdc8031dc549b732850b65a911d92b58b9b90c3,189000,2.80
ae5b9ffa47305592822e7ee21d0d11d77c166df25a6d5731689dd5451af04256,210000,2.80
4b4a3b33d31616bd0089855ff38bf750f668fb038e39b713e989abdae5af561c,231000,4.20
386f88141cba0027741ca2ca6ef141aa3d2d16749f55c40bd166c350bec0191a,252000,4.20
26404c5cb39fb45dd997e59c16273c523da6cca62e0b1f00bf89823286f03646,273000,6.10
1c2cfdf237bbb8498bae8ff11a0a411b5f9e8ced23d0b3c0267d796566e4a696,294000,6.10
a265ce5fdfbf9fa9e56150774e6bcf88d3fbf47240e303f87662f0673e900bc5,315000,8.40
bc09a8227d1f37d8f9521f6934a084fef324ce96a70ee38b5c7cb963dd1d3567,336000,8.40
c8c87f0911d7feba6b111ef79ab4f73a15fec5651379c706253e7d3d2a349fb8,315000,10.50
d24defe83812c08ca517bfb9fe2b205ff0e90a59a873ec603656de77bb52c790,378000,10.50
d7f569fa6c0c33f7407a1a1098f6156c898b32b2f8bba75d0eb245630055d3a5,399000,12.30
b7d9b4b2393d9d953664ee8f69831b4c806a56029b52e19c63859a49ca5ff514,420000,12.30
8c5c8d83cd29176fef0db567db6f99dcaee06427b0f7e535fbc9a8eb52e7c04f,441000,14.30
29bea878de619f0e254149e99c106d2a941fb182676970e82e2ffd4bf6a4c016,462000,14.30
a39d7197d44512e7eb3be03d32d7cc3ca63c69ebfdd89259aec3e45416f4d81e,483000,16.30
de86c5b517f96a851fcaf28bceb441cd4006b1bbf808f51436a8dea85d38986e,504000,16.30
0b645edaa6b0d76d4b1d3b917fdbc2d6f6d9757f6f1d7ea7fcab80072f1210ab,525000,18.30
4c5132c970f817fd5930aae424b5a431d2a8f1e7dcc2f22a1839a94fc062379b,546000,18.30
e1e583e5e8b3824e085083ff09c169ffb4d770bcc289e3835504db9b6425a83e,567000,20.30
3510ea7329f90908990610f21390b28a446c8b89f419d1efb343fc531af514f4,588000,20.30
a96a32b66a71360e65e17cf2be4e6573abe3c8ee65aad0bd5ab5f52c4de45803,567000,22.50
