BlockHash,TPS,GasUsed
70f84b50c02737c31b1dd58294154828fb7d1abc62aa3cd398377804a675e5a0,21000,0.00
cc8af7926ddb441d15856c53265df5d88f192eb0b1c3155ea642cd800a258f4d,21000,0.00
6040a856dc328126c2ead3b251f3772dd48367f55bb9d339eadd0c724ed9bc3d,21000,0.10
371e0c1f890a10b00c8fb396784d00a52885c8e5371b6c9f8157b22cf9dd8211,42000,0.20
667929935d4b306dcf0f6f4d936a44a572eb4804e702411b6ce0fc41371822b0,84000,0.30
3c1522b0a57e611565ffcdac1f4763a813e239df9d483723ac64aea4679159ca,105000,0.50
2600dab445e42421dff2bd071423cf1107c515cdae0d41448296b885dcbd9b7f,126000,0.90
4058e9687948f87a11440db6c5468bf30f57f4560f3af337d2fca294a52e7171,126000,1.30
c566daea7f4e20a20090484eb45de547eb3ecfdda93a5d42b1dddc6cb9755d1f,168000,1.80
d4a28ed6f5c2514157bf17e5f6c839c7345b02e959402e7c816b4b27fa9a2a0a,168000,2.30
707da4df7599ed16d698223712103eb67275478ca32f61c285476d4e5a514b2e,210000,2.90
864fa6b946102e48f8e758225fa0a97412e1d9a8297da9d8f9d72d92bc0ce886,231000,3.30
d1772de2aa551c02f99fdb35afb342b26cc836218f01dde8215ac1c6991cbcd1,231000,3.80
5bc1078f2f6520b3cf62e98f602b1bda357012b571389413d552e3d7a1aeb37b,273000,4.30
cfefe8376894f5f80567be976aeb8c6bcdd2140c5676bf732d14ecf3b404712b,294000,4.80
025e06ef06f31fa2f8c323bd49d0c9404758fc4d44f3828ec9d4992432f2c971,315000,5.30
5356a57ed8b8f49d56d8beb57d2d196d0e4e9abe2e88063a65e5d3bf8f5efa6a,336000,5.90
9910b3dedff2d289d28455fcaf7d91ced9f1826f8f09581b93794ccf404045d4,357000,6.40
33fda46f63b449115785bf784a67011202476060e21080abd072dd3a1c794749,378000,6.90
f74564b7a975f07e0990d2a445c89c7396a8466a3fc596a75b227151743f655e,399000,7.50
d23a40989cc893a936fd5fe8742bdcf9f857afeee9bc6f46b4c8043456be2bb9,420000,8.00
42cde94886950b61a2d58626f31286e01f429ddc6e53a64315540e029f41d4ae,441000,8.50
8532f67048540ac50a041ccffc44170a4500afb748076e15f362bea6aa65feb6,462000,9.00
431eae651e31333f78a6c7734e72b0f28cfdf63bfe092e776831bb798c788b38,483000,9.50
54484ddd08e88cb4727557713404ce53916b81f7704ad538ac575112aebc2073,504000,10.00
db10f615946bc4e92f44e4e487659646b2dba2a16ee359f431ec6847d1e7f313,525000,10.50
e494eac5e6c6052d56791df000541cf284954a1a94a262119a38a87dd40a306f,546000,11.00
780386f9d4b4c8b79e4cfa48c13db154cf1fe4a8dce201ded062c55f0011e780,567000,11.50
ed5d338c65943b34eee12ef5bc0bccae657e39ec7cedfc3b05114bdb182548df,588000,12.00
2f48a28a2b58c79dbdaa801e50a9dc075ea0005c045507d20c726ceba135135d,609000,12.50
340beb4e156c43ace9e82d8a556242c6965fcdc53b410948235a68c19afc1ce4,630000,13.00
c7402754a44b7fc01599c6ed59a927c73f02b64fa51a4a4fdcdf200acd243320,651000,13.50
0ab0cb54780517be7142bf2c6005c93a65231c90da2b85e2c481307c0b9e3e67,672000,14.00
6127f7f3830ec2bd1f79dca16d90fe095edb9daf065d5f6f61a7195e23a0e438,672000,14.50
23540846995468500383b675e5ecc8c87606c2fd9349b8c37d07e12fb93c80be,714000,15.00
a0e55cc7e8d1f07d1beea95605217a1b5fe1b3f64d96f199c75f53dc5080aea1,735000,15.40
03af29b928d636038cf32d06aced212d68ece9487b408e59f3c3b01b6d64f9e6,756000,15.90
ea92d4df2d5765239e54c60043e4c9fc96ebc4814569f9c123109cd0f5a259b7,777000,16.40
8da37ebacc61bc38c4dff95e82c8f560e646ab206dacde74643b31dbebf8c990,777000,16.90
0bcc3b4ba568306188fa848789ea947beb9739f2de55fa67b7eec6114cd3796b,798000,17.40
6a708719f9ceb2aad43049ff45953eeb1c220b12da3d1a0e94284bf460fdf192,840000,17.90
717c743141a9ae8dd6f5d77c6ecb4732144f0adfd283765276077423c3de73fd,861000,18.30
7791af3872377728768d66a2d69b9386d3d655ab34caf783237e767c84ca8e93,861000,18.80
8ddf262cb6c75dd8852662165c988982339adb8f66dc0aed23de2fd5a6e7f838,903000,19.30
4f6368d86ca13937fbf3deda1cf847e6ec8b3757c3ad25b64f75aa2f8c7fe6c5,903000,19.70
9864250dcbd239f56a47952e39df33ff3bd91b17db4769c1ca465f06f39386fc,945000,20.30
