BlockHash,TPS,GasUsed
c31701187f8cf0f6c0864860e40d5b21e5dbc43db3592878cd8bcb415edb482d,21000,0.00
8c809d05cb83d22146c0846a32a12299ad83cfc2a4bb93711f3433b219d40c5a,21000,0.00
d792ed0d87beeb8b2e60e7116f573d619a4039c183f9bf507504539e525ce795,21000,0.00
e33bfdb19f0944a4c0d616711c6e311f03fd7875be5c79384193e2427e79a293,21000,0.00
fc122ca0d438472b83836361e1128866b9db796d72fbfb31427f3add3aa04062,21000,0.30
c16bd8364cf822acae433538f4633d1a637132d989a3ea70a13f2152f5c5c33b,21000,0.30
2c7925815ab5b07aa0aa60abcf4c6426c0536f7bd5f5d990f578f08fd74ca6c5,21000,0.50
962e892538a454a874641021cd8016b360edb728ff7ec719e4eb1629395c0b23,42000,0.50
fdc39fa74896b93dc71b966938c362b3e9a440e83bd2d0d3c55fd365255b4f2b,84000,0.70
beb752ddf1a3617bb1eae22ee848e1ef2bbba9ded68ea115be6392f29b9660a8,84000,0.70
c53d92895d8e6b8240b35a7db2b441b1f893ab553ef5210d507f577dd4590824,126000,1.30
2df352adc4b89e811141d4609d8e6b097cac6c4e10053d259431b7683e73ab3f,168000,1.30
0c390af37e7e97e99f5761bc9775f3dd92f7e825f4ec0eaf0b2f75460930ca11,168000,2.30
72bd8c8bd5a3fe26a6ceebdde15366d41253e5764e6b861e47d305a7ed1a01de,189000,2.30
0d387d78cc93bc31896696cf72d05d72f66d86e1662067fc65c09a6aad9c3fd9,210000,3.60
66316929ae226ec5e56990975bf163d1052f504c3197b996a2732cca9a6024b1,231000,3.60
d6cf4b03b31572ac38082d3721c86df8600d2ca2f260de127fba8a839127fb6c,210000,5.30
7dbd8072d3f819a56bf3f272c5cc969b1fb389e1bad59a760f05be084fe72e25,210000,5.30
b7d955b0817e1c3bb10370836194aae8bc1b17e9dc42b3d9e7fc95d78140202a,210000,7.20
ff8e94b3eb3cf41e4ad8ed01efeed9cc9d7daf56946ad44e0f949c90aad64744,336000,7.20
8330faa8ffa5d7d9194f55e0d1c843c64cd4b804ef465010bd7c0425888ae605,357000,8.60
5916db918e2bded9e3410a6d165a18b456a6b53a1a4247a39aa55f21706b20d3,336000,8.60
b081fcab8202409bf82de8c92dc5c041d99e511bb70022eed980d850c7bd8cf5,336000,10.90
8e543c32f37f526ebf754f2a1a55af10ed23279322f0cb2ae776d4d4a36a2266,357000,10.90
